"url"	"name"	"distance_from_trail"	"distance_from_mexico"	"cheap_resupply"	"post_office"	"other_info"
"http://planyourhike.com/planning/resup/snoqualmiepass.html"	"Snoqualmie Pass PO"	"0.25 miles"	"Aproximately 2402 trail miles"	"No, it's probably cheaper to mail food here.  But there is inexpensive trail food down the hill from here in North Bend if you're up for hitchiking."	"The post office is located at the Chevron station."	"The postmaster does not have room to store packages in the small office at the Chevron station. Packages are normally held at the Real Post Office way down the hill in North Bend. He will help you out if you address the package to exactly as shown above.  The post office has very limited hours.  It is open MON-SAT from 10:00am to noon."
"http://planyourhike.com/planning/resup/sodasprings.html"	"Soda Springs PO"	"3 miles"	"Aproximately 1156 trail miles"	"No, it's probably cheaper to mail food here."	"The post office is located at 21719 Donner Pass Road.  The phone number is (530) 426-3082."	"ERROR"
"http://planyourhike.com/planning/resup/sonorapass.html"	"Sonora Pass*P.O.Box?"	"11 miles"	"Aproximately x.yz trail miles"	"Yes / No, it's probably cheaper to mail food here."	"The post office is located at such and such street."	"ERROR"
"http://planyourhike.com/planning/resup/southlaketahoe.html"	"South Lake Tahoe PO"	"9.5 miles"	"Aproximately 1093 trail miles"	"Yes, there is a Safeway near the lake."	"The post office is located at 950 Emerald Bay Road, and the phone number is (530) 541-4365."	"ERROR"
"http://planyourhike.com/planning/resup/stablercountrystore.html"	"Stabler Country Store"	"1 miles"	"Aproximately 2188 trail miles"	"No, it's probably cheaper to mail food here.  But be kind and buy somthing here anywhere."	"ERROR"	""
"http://planyourhike.com/planning/resup/stehekin.html"	"Stehekin PO"	"10.75 miles, but there is a $5 shuttle that will take you into town."	"Aproximately 2574 trail miles"	"No, it's probably cheaper to mail food here."	"From May 15 to Oct 1 the Stehekin PO has the following schedule: "	"Stehekin Outfitters carries butane canisters."
"http://planyourhike.com/planning/resup/strawberrycreek.html"	"Strawberry Creek Inn*NEW"	"4.5 miles"	"Aproximately 179 trail miles"	"Yes / No, it's probably cheaper to mail food here."	"The post office is located at such and such street."	"Nomad Ventures carries butane canisters."
"http://planyourhike.com/planning/resup/summitinn.html"	"Snoqualmie Summit Lodge"	"0.5 miles"	"Aproximately 2402 trail miles"	"No, it's probably cheaper to mail food here.  But there is inexpensive trail food down the hill from here in North Bend if you're up for hitchiking."	"ERROR"	""
"http://planyourhike.com/planning/resup/tahoecity.html"	"Tahoe City PO"	"12 miles"	"Aproximately 1127 trail miles"	"Yes, there is an Albertsons in town."	"The post office is located at 950 North Lake Boulevard, and the phone number is (530) 583-6563."	"At Barker Pass, take Barker Pass Rd east.  When it hits Hwy 89 head north to Tahoe City."
"http://planyourhike.com/planning/resup/tahquitzinn.html"	"The Tahquitz Inn"	"4.5 miles"	"Aproximately 179 trail miles"	"Yes"	"ERROR"	"They are located at 25840 State Highway 243 and their phone number is (951) 659-4554.  Their  toll-free number is (877) 659-4554. Also, Nomad Ventures carries butane canisters."
"http://planyourhike.com/planning/resup/tehachapi.html"	"Tehachapi PO"	"10 miles"	"Aproximately 558 trail miles"	"Yes"	"The post office is located at 1085 Voyager Drive, and thier phone number is (661) 822-0279."	"Follow Hwy 58 or Willow Springs Road."
"http://planyourhike.com/planning/resup/timberline.html"	"Timberline Lodge"	"0 miles"	"Aproximately 2107 trail miles"	"No, it's probably cheaper to mail food here."	"ERROR"	"Timberline lodge charges $4 for holding packages for you.  Use USPS only.  Mail to the address above.  Their phone number is (503) 622-0736"
"http://planyourhike.com/planning/resup/trailhosts.html"	"Winona and Peter Rowat"	"N/A"	"Aproximately 2663 trail miles"	"Yes, there are many grocery stores in Vancouver"	"ERROR"	".  You can email the Rowat's at nona@crayfish.ucsd.edu. "
"http://planyourhike.com/planning/resup/troutlake.html"	"Trout Lake PO"	"13 miles"	"Aproximately 2234 trail miles"	"No, it's probably cheaper to mail food here."	"ERROR"	"difficult here.  We recommend you either skip this resupply or see Cascade Mountain &amp; Ropes Outdoor Adventures about their shuttle.  The post office's phone number is (509)395-2108."
"http://planyourhike.com/planning/resup/truckee.html"	"Truckee PO"	"8 miles"	"Aproximately 1159 trail miles"	"Yes, there is an Albertsons within walking distance."	"The post office is located at 11421 Deerfield Drive, and the phone number is (530) 587-4835."	""
"http://planyourhike.com/planning/resup/tuolumnemeadows.html"	"Tuolumne Meadows PO"	"0.75 miles"	"Aproximately 942 trail miles"	"No, it's probably cheaper to mail food here."	"The post office is located at the general store."	"ERROR"
"http://planyourhike.com/planning/resup/vermillionvalley.html"	"Vermillion Valley Resort"	"5 miles (or 10 minutes by bi-daily ferry)"	"Aproximately 877 trail miles"	"No, it's probably cheaper to mail food here."	"There is no post office here.  Use Vermillion Valley Resort."	"Vermillion Valley Resort will hold packages for you (for a fee of $18).  UPS is the preferred method. Send your package at least 2 weeks in advance. USPS is not as convenient for them so please use UPS.  It will take at least 2 weeks regardless of method. "
"http://planyourhike.com/planning/resup/warnersprings.html"	"Warner Springs PO"	"1.00 mile"	"Approximately 110 trail miles"	"No, it's probably cheaper to mail food here."	"Their phone number is (760) 782-3166."	"ERROR"
"http://planyourhike.com/planning/resup/whitepass.html"	"White Pass PO"	"0.5 miles"	"Aproximately 2303 trail miles"	"No, it's probably cheaper to mail food here."	"ERROR"	"The post office is at the Kracker Barrel Store.  No outgoing mail service available. The phone number is (509) 672-3105 ."
"http://planyourhike.com/planning/resup/wrightwood.html"	"Wrightwood PO"	"5 miles"	"Aproximately 364 trail miles"	"Yes.  The prices are reasonable, but they aren't spectacular."	"The post office is located at 1440 State Highway 2, and their phone number is (760) 249-8882."	"carry butane canisters."
"http://planyourhike.com/planning/resup/youthcamp.html"	"Big Lake Youth Camp"	"1.5 miles"	"Aproximately 2002 trail miles"	"No, it's probably cheaper to mail food here."	"ERROR"	"This is a very friendly christian youth camp.  They'll hold packages, and sometimes feed you for about $5.  Their phone number is (503) 850-3583.  See below for thier website. "
